Date,  Price  ,  Open  ,  High  ,  Low  ,  Vol  ,Change,direction,mavg
2022-01-17,80000,82000,83000,78800,,-0.02,Decreasing,79600
2022-01-14,82000,82100,83500,81700,,-0.02,Decreasing,79925
2022-01-13,83500,84000,84000,82200,,0,Decreasing,80487.5
2022-01-12,83800,83600,84500,82400,,-0.01,Decreasing,81200
2022-01-11,84500,83900,85000,82300,,0.01,Increasing,81762.5
2022-01-10,83900,86400,88000,83900,,-0.03,Decreasing,82225
2022-01-07,86400,88200,88600,86400,,-0.02,Decreasing,83025
2022-01-06,88200,88500,90000,87800,,-0.01,Decreasing,84037.5
2022-01-05,89100,89000,89100,87800,,0,Increasing,85175
2022-01-04,89000,90500,90500,88500,,-0.02,Decreasing,86050
2021-12-31,91000,86300,91000,86100,,0.05,Increasing,86987.5
2021-12-30,86300,87000,87200,85700,,-0.01,Decreasing,87300
2021-12-29,87000,87100,87800,85100,,0,Decreasing,87612.5
2021-12-28,87000,89400,89400,87000,,-0.02,Decreasing,88000
2021-12-27,89000,88900,89900,87800,,0,Increasing,88325
2021-12-24,88900,89800,89800,87000,,0.03,Increasing,88412.5
2021-12-23,86260,88550,89695,85115,,-0.03,Decreasing,88057.5
2021-12-22,89084,89313,90000,87405,,0,Increasing,88068
2021-12-21,89008,88015,89313,87328,,0.01,Increasing,87819
2021-12-20,88015,87710,88168,86947,,0,Increasing,88033.375
2021-12-17,87939,87863,89084,86947,,0,Increasing,88150.75
2021-12-16,87786,88397,89313,87023,,0,Decreasing,88249
2021-12-15,87786,86336,87786,85496,,0.02,Increasing,88097.25
2021-12-14,86336,84886,87099,84809,,0.01,Increasing,87776.75
2021-12-13,85573,86260,87023,84733,,-0.01,Decreasing,87690.875
2021-12-10,86260,88168,88321,86260,,-0.02,Decreasing,87337.875
2021-12-09,87786,87023,88397,86641,,0.01,Increasing,87185.125
2021-12-08,86947,86260,87023,85115,,0.01,Increasing,87051.625
2021-12-07,85954,84886,86183,83969,,0.01,Increasing,86803.5
2021-12-06,84733,83969,86565,83206,,0,Decreasing,86421.875
2021-12-03,84733,88931,88931,84504,,-0.03,Decreasing,86040.25
2021-12-02,87252,88550,89160,86336,,0,Increasing,86154.75
2021-12-01,87023,84733,87786,84351,,0.04,Increasing,86336
2021-11-30,83969,84733,85420,82519,,0,Decreasing,86049.625
2021-11-29,84122,81985,84504,81985,,0,Decreasing,85591.625
2021-11-26,84504,83359,86183,83282,,0.02,Increasing,85286.25
2021-11-25,83206,81679,83817,81450,,0.02,Increasing,84942.75
2021-11-24,81221,81832,82443,80763,,0,Increasing,84503.75
2021-11-23,81069,78015,81069,78015,,0.04,Increasing,84045.75
2021-11-22,77939,78244,78397,77405,,0,Decreasing,82881.625
2021-11-19,78015,78321,78626,77481,,0,Decreasing,81755.625
2021-11-18,78397,79084,79084,78168,,0,Decreasing,81059.125
2021-11-17,78779,79466,79466,78626,,0,Increasing,80391.25
2021-11-16,78702,79084,79847,78702,,0,Decreasing,79666
2021-11-15,79084,81527,81527,79084,,-0.02,Decreasing,79150.75
2021-11-12,80916,80916,81679,80153,,0,Increasing,79112.625
2021-11-11,80534,80153,82366,79389,,0.01,Increasing,79045.75
2021-11-10,79389,79084,79847,78626,,0.01,Increasing,79227
2021-11-09,78626,79771,80076,78626,,-0.02,Decreasing,79303.375
2021-11-08,79847,80382,80763,79695,,0,Decreasing,79484.625
2021-11-05,80153,79389,80763,79084,,0.01,Increasing,79656.375
2021-11-04,79389,80534,81145,79389,,-0.01,Decreasing,79742.25
2021-11-03,80305,82443,82519,80229,,-0.03,Decreasing,79894.875
2021-11-02,82519,82366,83206,82214,,-0.01,Decreasing,80095.25
2021-11-01,83664,84504,84657,83206,,0,Increasing,80486.5
2021-10-29,83435,83435,85496,83130,,0.01,Increasing,80992.25
2021-10-28,82290,79389,83969,79160,10,0.04,Increasing,81450.25
2021-10-27,79313,78855,79771,78397,,0.01,Increasing,81383.5
2021-10-26,78855,79389,79924,78321,,0,Decreasing,81221.25
2021-10-25,79237,79084,80076,78626,,0,Increasing,81202.25
2021-10-22,78855,77863,79313,77786,,0.01,Increasing,81021
2021-10-21,77863,78244,78321,77634,,0,Decreasing,80439
2021-10-20,78092,78321,79237,77481,,0,Decreasing,79742.5
2021-10-19,78321,77786,79389,77252,,0.01,Increasing,79103.25
2021-10-18,77634,77863,78015,77481,,0,Decreasing,78521.25
2021-10-15,77863,78092,78321,77710,,0,Decreasing,78340
2021-10-14,78092,78550,78626,77863,,0,Decreasing,78244.625
2021-10-13,78321,78626,79160,78321,,0,Decreasing,78130.125
2021-10-12,78626,79160,79160,78550,,-0.01,Decreasing,78101.5
2021-10-11,79389,79771,79847,79160,,0,Decreasing,78292.25
2021-10-08,79771,79542,79771,78702,,0,Increasing,78502.125
2021-10-07,79466,80153,80763,79466,,-0.01,Decreasing,78645.25
2021-10-06,80153,80382,80763,79542,,0.01,Increasing,78960.125
2021-10-05,79695,77863,80534,77481,,0.02,Increasing,79189.125
2021-10-04,77863,77405,77863,77252,,0,Decreasing,79160.5
2021-10-01,77863,77634,77863,77252,,0,Decreasing,79103.25
2021-09-30,77863,77863,77863,77481,,0,Decreasing,79007.875
2021-09-29,77863,78244,78321,77405,,-0.01,Decreasing,78817.125
2021-09-28,78321,78015,78321,78015,,0,Increasing,78635.875
2021-09-27,78168,78473,78550,78092,,-0.01,Decreasing,78473.625
2021-09-24,78626,78550,78626,78168,,0,Decreasing,78282.75
2021-09-23,78626,78473,78626,78092,,0,Decreasing,78149.125
2021-09-22,78702,78550,78779,78244,,0,Increasing,78254
2021-09-21,78626,78626,78626,78092,,0,Decreasing,78349.375
2021-09-20,78626,78626,79008,78092,,0,Decreasing,78444.75
2021-09-17,78779,78702,79008,78397,,0,Increasing,78559.25
2021-09-16,78702,79008,79160,78321,,0,Decreasing,78606.875
2021-09-15,78702,78626,78702,78321,,0,Increasing,78673.625
2021-09-14,78626,78779,78931,78321,,0,Decreasing,78673.625
2021-09-13,78626,78779,78931,78397,,0,Decreasing,78673.625
2021-09-10,78855,78855,79389,78702,,0,Increasing,78692.75
2021-09-09,78779,79237,79618,78779,,-0.01,Decreasing,78711.875
2021-09-08,79389,80000,80076,79389,,-0.01,Decreasing,78807.25
2021-09-07,80000,80000,80534,79618,,0,Decreasing,78959.875
2021-09-06,80000,80382,81069,79847,,0,Increasing,79122.125
2021-09-01,79924,79695,80534,79466,,0,Increasing,79274.875
2021-08-31,79695,79389,80458,78855,,0,Increasing,79408.5
2021-08-30,79389,79237,79618,78931,,0,Increasing,79503.875
2021-08-27,79237,79008,79237,78397,,0,Increasing,79551.625
2021-08-26,79160,80534,80687,79008,,-0.02,Decreasing,79599.25
2021-08-25,80534,80534,81679,80000,,0,Decreasing,79742.375
2021-08-24,80534,80534,80916,79008,,0.01,Increasing,79809.125
2021-08-23,80076,79160,81069,79008,,0.01,Increasing,79818.625
2021-08-20,79160,80000,80000,78321,,-0.01,Decreasing,79723.125
2021-08-19,80076,78244,80153,78015,,0.02,Increasing,79770.75
2021-08-18,78626,79237,79237,78321,,0,Decreasing,79675.375
2021-08-17,78779,79389,79389,78779,,-0.01,Decreasing,79618.125
2021-08-16,79237,79084,79771,78931,,0,Increasing,79627.75
2021-08-13,79008,79008,79313,78702,,0,Decreasing,79437
2021-08-12,79084,79237,79618,79008,,0,Decreasing,79255.75
2021-08-11,79313,79847,80458,79008,,-0.01,Decreasing,79160.375
2021-08-10,79847,80916,81679,79847,,-0.01,Decreasing,79246.25
2021-08-09,80916,82061,82137,80916,,-0.01,Decreasing,79351.25
2021-08-06,82061,82443,82824,81985,,0,Decreasing,79780.625
2021-08-05,82443,82443,83664,82443,,0,Increasing,80238.625
2021-08-04,82061,80763,83893,80458,,0.02,Increasing,80591.625
2021-08-03,80534,79466,81069,79466,,0.01,Increasing,80782.375
2021-08-02,79847,79008,81527,78626,,0.01,Increasing,80877.75
2021-07-30,79389,79160,79924,79008,,0,Decreasing,80887.25
2021-07-29,79389,79695,79847,79160,,0,Decreasing,80830
2021-07-28,79466,80153,80153,79466,,-0.02,Decreasing,80648.75
2021-07-27,81298,80153,81527,80153,,-0.01,Decreasing,80553.375
2021-07-26,82061,78550,82061,78168,,0.04,Increasing,80505.625
2021-07-23,78626,80000,80000,78626,,-0.02,Decreasing,80076.25
2021-07-22,80076,78473,80153,78473,,0.02,Increasing,80019
2021-07-21,78702,78855,79618,78550,,0,Decreasing,79875.875
2021-07-20,79008,78626,79008,77786,,0,Increasing,79828.25
2021-07-19,78626,78626,79389,78244,,-0.02,Decreasing,79732.875
2021-07-16,79847,79389,81069,78015,,0.01,Increasing,79780.5
2021-07-15,79389,78626,79389,78244,,0,Decreasing,79541.875
2021-07-14,79389,79924,80076,76947,,-0.01,Decreasing,79207.875
2021-07-13,79924,80305,80458,77863,,0,Decreasing,79370.125
2021-07-12,80229,79618,82061,76718,,0.02,Increasing,79389.25
2021-07-09,79008,85038,85038,78779,,-0.07,Decreasing,79427.5
2021-07-08,84580,87176,89313,83817,12.74,-0.06,Decreasing,80124
2021-07-07,90076,89313,90076,88168,,0.01,Increasing,81555.25
